Catagory_Name,productName,productPrice,productSize,productType,productURL,imageUrl,prodId,skuId
CoverGirl,Eye Shadow Quads Blooming Blushes 720,$6.99,0.06 oz ,Eyeshadow,https://www.walgreens.com/store/c/covergirl-eye-shadow-quads/ID=300388638-product?skuId=sku6227859,https://pics.drugstore.com/prodimg/544926/155.jpg,300388638,sku6227859
Wet n Wild,Brow Kit,$3.99,1 ea ,Eyebrow Makeup,https://www.walgreens.com/store/c/wet-n-wild-brow-kit/ID=300398611-product,https://pics.drugstore.com/prodimg/619846/155.jpg,300398611,400619846
Black Radiance,Body Building Mascara Black,$4.59,1 ea ,Mascara,https://www.walgreens.com/store/c/black-radiance-body-building-mascara/ID=prod6303176-product,https://pics.drugstore.com/prodimg/610007/155.jpg,prod6303176,sku6324010
Maybelline,The Colossal Cat Eyes Washable Mascara Glam Black,$7.79,0.31 fl oz ,Mascara,https://www.walgreens.com/store/c/maybelline-volum'-express-the-colossal-cat-eyes-washable-mascara/ID=prod6120604-product,https://pics.drugstore.com/prodimg/462553/155.jpg,prod6120604,sku6105602
IsaDora,Perfect Eyes Golden Glow,$12.00,0.08 oz ,Eyeshadow,https://www.walgreens.com/store/c/isadora-perfect-eyes/ID=prod6370654-product?skuId=sku6311458,https://pics.drugstore.com/prodimg/602880/155.jpg,prod6370654,sku6311458
CoverGirl,Clear Setting Gel Clear,$9.49,0.16 fl oz ,Eyebrow Makeup,https://www.walgreens.com/store/c/covergirl-easy-breezy-brow-clear-setting-gel/ID=300394466-product,https://pics.drugstore.com/prodimg/615549/155.jpg,300394466,400615549
Revlon,So Fierce Mascara Blackest Black,$8.09,0.3 fl oz ,Mascara,https://www.walgreens.com/store/c/revlon-so-fierce-mascara/ID=300394437-product?skuId=400615540,https://pics.drugstore.com/prodimg/615540/155.jpg,300394437,400615540
Maybelline,Curved Brush Washable Mascara Blackest Black,$7.79,0.43 oz ,Mascara,https://www.walgreens.com/store/c/maybelline-great-lash-curved-brush-washable-mascara/ID=prod6400151-product,https://pics.drugstore.com/prodimg/95627/155.jpg,prod6400151,sku391820
Kiss,Eyelashes Shy,$2.69,1 ea ,False Eyelashes,https://www.walgreens.com/store/c/kiss-eyelashes/ID=prod6406511-product,https://pics.drugstore.com/prodimg/512707/155.jpg,prod6406511,sku6182214
e.l.f.,Eyebrow Kit Dark,$3.49,0.07 oz ,Eyebrow Makeup,https://www.walgreens.com/store/c/e.l.f.-eyebrow-kit/ID=prod6266008-product,https://pics.drugstore.com/prodimg/546068/155.jpg,prod6266008,sku6225906
